grinning	😀	grinning face
people_holding_hands	🧑‍🤝‍🧑	people holding hands
two_women_holding_hands	👭	women holding hands
couple	👫	woman and man holding hands
two_men_holding_hands	👬	men holding hands
couplekiss	💏	kiss
couplekiss_man_woman	👩‍❤️‍💋‍👨	kiss: woman, man
couplekiss_man_man	👨‍❤️‍💋‍👨	kiss: man, man
couplekiss_woman_woman	👩‍❤️‍💋‍👩	kiss: woman, woman
couple_with_heart	💑	couple with heart
couple_with_heart_woman_man	👩‍❤️‍👨	couple with heart: woman, man
couple_with_heart_man_man	👨‍❤️‍👨	couple with heart: man, man
couple_with_heart_woman_woman	👩‍❤️‍👩	couple with heart: woman, woman
family	👪	family
family_man_woman_boy	👨‍👩‍👦	family: man, woman, boy
family_man_woman_girl	👨‍👩‍👧	family: man, woman, girl
family_man_woman_girl_boy	👨‍👩‍👧‍👦	family: man, woman, girl, boy
family_man_woman_boy_boy	👨‍👩‍👦‍👦	family: man, woman, boy, boy
family_man_woman_girl_girl	👨‍👩‍👧‍👧	family: man, woman, girl, girl
family_man_man_boy	👨‍👨‍👦	family: man, man, boy
family_man_man_girl	👨‍👨‍👧	family: man, man, girl
family_man_man_girl_boy	👨‍👨‍👧‍👦	family: man, man, girl, boy
family_man_man_boy_boy	👨‍👨‍👦‍👦	family: man, man, boy, boy
family_man_man_girl_girl	👨‍👨‍👧‍👧	family: man, man, girl, girl
family_woman_woman_boy	👩‍👩‍👦	family: woman, woman, boy
family_woman_woman_girl	👩‍👩‍👧	family: woman, woman, girl
family_woman_woman_girl_boy	👩‍👩‍👧‍👦	family: woman, woman, girl, boy
family_woman_woman_boy_boy	👩‍👩‍👦‍👦	family: woman, woman, boy, boy
family_woman_woman_girl_girl	👩‍👩‍👧‍👧	family: woman, woman, girl, girl
family_man_boy	👨‍👦	family: man, boy
family_man_boy_boy	👨‍👦‍👦	family: man, boy, boy
family_man_girl	👨‍👧	family: man, girl
family_man_girl_boy	👨‍👧‍👦	family: man, girl, boy
family_man_girl_girl	👨‍👧‍👧	family: man, girl, girl
family_woman_boy	👩‍👦	family: woman, boy
family_woman_boy_boy	👩‍👦‍👦	family: woman, boy, boy
family_woman_girl	👩‍👧	family: woman, girl
family_woman_girl_boy	👩‍👧‍👦	family: woman, girl, boy
family_woman_girl_girl	👩‍👧‍👧	family: woman, girl, girl
speaking_head	🗣️	speaking head
bust_in_silhouette	👤	bust in silhouette
busts_in_silhouette	👥	busts in silhouette
people_hugging	🫂	people hugging
footprints	👣	footprints
monkey_face	🐵	monkey face
monkey	🐒	monkey
gorilla	🦍	gorilla
orangutan	🦧	orangutan
dog	🐶	dog face
dog2	🐕	dog
guide_dog	🦮	guide dog
service_dog	🐕‍🦺	service dog
poodle	🐩	poodle
wolf	🐺	wolf
fox_face	🦊	fox
raccoon	🦝	raccoon
cat	🐱	cat face
cat2	🐈	cat
black_cat	🐈‍⬛	black cat
lion	🦁	lion
tiger	🐯	tiger face
tiger2	🐅	tiger
leopard	🐆	leopard
horse	🐴	horse face
moose	🫎	moose
donkey	🫏	donkey
racehorse	🐎	horse
unicorn	🦄	unicorn
zebra	🦓	zebra
deer	🦌	deer
bison	🦬	bison
cow	🐮	cow face
ox	🐂	ox
water_buffalo	🐃	water buffalo
cow2	🐄	cow
pig	🐷	pig face
pig2	🐖	pig
boar	🐗	boar
pig_nose	🐽	pig nose
ram	🐏	ram
sheep	🐑	ewe
goat	🐐	goat
dromedary_camel	🐪	camel
camel	🐫	two-hump camel
llama	🦙	llama
giraffe	🦒	giraffe
elephant	🐘	elephant
mammoth	🦣	mammoth
rhinoceros	🦏	rhinoceros
hippopotamus	🦛	hippopotamus
mouse	🐭	mouse face
mouse2	🐁	mouse
rat	🐀	rat
